한글발음,한자,획수,자원오행,뜻,발음오행
염,灩,32,水,출렁거릴,土
염,饜,23,水,포식할,土
염,魘,24,火,잠꼬대할,土
염,黶,26,水,사마귀,土
염,瀲,21,水,(렴)넘칠,土
염,磏,15,金,(렴)거친 숫돌,土
염,殮,17,水,"(렴)염할, 빈소",土
염,厭,14,水,"싫을, 가득 찰",土
염,髥,14,火,구레나룻,土
엽,靨,23,火,보조개,土
엽,枼,9,木,마뭇잎,土
엽,鬣,25,火,(렵)갈기,土
엽,躐,22,土,(렵)밟을,土
엽,曄,16,火,"빛날, 성할",土
엽,葉,15,木,"姓,잎,나뭇잎",土
엽,燁,16,火,빛날,土
