KoreanPronunciation,Hanja,Strokes,Meaning,Element,SoundElement
가,加,5,"더할, 있을",水,木
가,佳,8,"아름다울, 좋을",火,木
가,架,9,"시렁, 세울",木,木
가,可,5,"옳을, 좋을",水,木
가,哿,10,"좋을,훌륭하다",水,木
가,家,10,"집,건물",木,木
가,嘉,14,"아름답다,훌륭하다",水,木
가,街,12,"거리,대로,시가지",火,木
가,暇,13,겨르다.틈,火,木
가,賈,13,"값,장사,상인",金,木
가,稼,15,"농사, 심을",木,木
가,珂,10,옥이름,金,木
가,茄,11,"연줄기,연(蓮)",木,木
가,哥,10,"노래, 노랫소리",水,木
가,跏,12,책상다리할,土,木
가,袈,11,"가사, 승려의 옷",木,木
가,軻,12,굴대,火,木
가,枷,9,도리깨,木,木
가,歌,14,"노래, 읊을",金,木
가,價,15,"姓,값,가치",火,木
가,嘏,14,클,水,木
가,舸,11,큰 배,木,木
가,泇,9,물이름,水,木
가,珈,10,머리꾸미개,金,木
가,柯,9,"가지, 자루",木,木
가,檟,17,개오동나무,木,木
가,榎,14,개오동나무,木,木
가,笳,11,갈잎피리,木,木
가,假,11,"거짓, 임시",火,木
가,嫁,13,"시집갈, 떠넘길",土,木
가,駕,15,"멍에, 수레",火,木
가,迦,12,"부처이름, 막을",土,木
가,伽,7,절,火,木
가,呵,8,"꾸짖을, 웃을",水,木
가,痂,10,"헌데딱지, 옴",水,木
가,苛,11,"매울, 사나울",木,木
가,訶,12,"꾸짖을, 야단할",金,木
가,坷,8,평탄하지 않을,土,木
가,斝,12,술잔,火,木
가,耞,11,도리깨,木,木
가,葭,15,갈대,木,木
가,謌,17,노래,金,木
각,各,6,"각각, 시각",水,木
각,角,7,"뿔, 견줄",木,木
각,閣,14,"문설주, 세울",木,木
각,覺,20,"깨달음, 터득할",火,木
각,刻,8,"새길,벗길",金,木
각,珏,10,쌍옥,金,木
각,恪,10,"삼갈,정성,공경",火,木
각,慤,16,성실할,火,木
각,擱,18,놓을,木,木
각,桷,11,서까래,木,木
각,殼,12,"껍질, 씨",金,木
각,脚,13,"다리, 정강이",水,木
각,却,7,"물리칠,그칠",木,木
각,卻,9,물리칠,木,木
각,咯,9,"울, 트림",水,木
각,埆,10,매마를,土,木
각,搉,14,두드릴,木,木
간,間,12,"사이, 가까울",木,木
간,看,9,"볼, 지킬",木,木
간,刊,5,"책펴낼, 깎을",金,木
간,幹,13,"줄기, 몸",木,木
간,磵,17,산골물,金,木
간,稈,12,"집, 볏짚",木,木
간,偘,11,굳셀,火,木
간,茛,12,"미나리아재비,독초",木,木
간,衎,9,즐길 ,火,木
간,赶,10,쫓을,火,木
간,齦,21,깨물,金,木
간,忓,7,방해할,火,木
간,姦,9,"간사할, 거짓",土,木
간,奸,6,"범할, 간통할",土,木
간,艱,17,"어려울, 괴로워할",土,木
간,癎,17,"간기(간질), 경풍",水,木
간,干,3,"姓,방패, 방어할",木,木
간,肝,9,"간, 충정",水,木
간,簡,18,"글, 편지",木,木
간,侃,8,"강직할, 화락할",火,木
간,杆,7,"지레, 나무이름",木,木
간,竿,9,"장대, 죽순",木,木
간,揀,13,"가려냉, 구별할",木,木
간,諫,16,"고칠, 충고할",金,木
간,玕,8,"옥돌, 아름다운 돌",金,木
간,慳,15,아낄,火,木
간,榦,14,줄기,木,木
간,秆,8,볏짚,木,木
간,迀,10,구할,土,木
간,矸,8,산돌,金,木
간,栞,10,"깎을, 도표",木,木
간,澗,16,"산골물,계곡물",水,木
간,懇,17,"정성, 간절할",火,木
간,艮,6,"괘이름, 그칠",土,木
간,墾,16,"개간할, 다스릴",土,木
간,柬,9,"가릴, 분간",木,木
간,桿,11,볏짚,木,木
갈,鞨,18,"가죽신, 두건",金,木
갈,葛,15,"姓,칡,넝쿨",木,木
갈,乫,6,땅이름,木,木
갈,碣,14,"비, 돌을 세울",金,木
갈,竭,14,"다할, 물마를",金,木
갈,褐,15,"털옷, 베옷",木,木
갈,蝎,15,"나무좀,나무굼벵이",木,木
갈,喝,16,맹세할,水,木
갈,楬,13,푯말,木,木
갈,秸,11,짚,木,木
갈,羯,15,불깐 양,土,木
갈,蠍,19,전갈,水,木
갈,渴,13,"목마를, 급할",水,木
갈,曷,9,"어찌, 언제",火,木
갈,喝,12,더위 먹을,水,木
감,邯,12,"땅이름, 강이름",土,木
감,淦,12,물 이름,水,木
감,澉,16,싱거울,水,木
감,酣,12,흥겨울,金,木
감,鹻,21,소금기,水,木
감,龕,22,감실,土,木
감,弇,9,사람이름,木,木
감,憨,16,어리석을,火,木
감,撼,17,흔들,木,木
감,歛,17,"줄,바라다,원하다",火,木
감,泔,9,뜨물,水,木
감,矙,25,엿볼,木,木
감,轗,20,가기 힘들,火,木
감,憾,17,"한할, 서운해 할",火,木
감,歁,13,"칠, 평정할",金,木
감,坎,7,"구덩이, 험할",土,木
감,疳,10,"감질, 감병",水,木
감,坩,8,도가니,土,木
감,埳,11,구덩이,土,木
감,嵁,12,울퉁불퉁할,土,木
감,欿,12,서운할,火,木
감,感,13,"느끼, 감동할",火,木
감,敢,12,"굳셀, 용감할",金,木
감,鑑,22,"姓,거울,성찰할",金,木
감,鑒,22,"거울, 성찰할",金,木
감,甘,5,"姓,달,상쾌할",土,木
감,玪,9,옥 이름,金,木
감,減,13,"덜, 줄일",水,木
감,監,14,"볼, 보살필",金,木
감,勘,11,"헤아릴, 조사할",土,木
감,堪,12,"견딜, 뛰어날",土,木
감,瞰,17,"내려다볼, 멀리볼",木,木
감,嵌,12,산이 깊을,土,木
감,柑,9,"감자나무, 재갈",木,木
감,橄,16,감람나무,木,木
감,紺,11,"감색, 밤물",木,木
갑,甲,5,"첫째 천간, 껍질",木,木
갑,鉀,13,갑옷,金,木
갑,岬,8,"산허리,산골짜기",土,木
갑,閘,13,"물문,수문",木,木
갑,匣,7,작은상자,木,木
갑,胛,11,"어깨, 어깻죽지",水,木
강,玒,8,옥 이름,金,木
강,鏹,20,"돈, 돈꿰미",金,木
강,堈,11,"언덕, 항아리",土,木
강,橿,17,"나무이름, 굳센 모양",木,木
강,彊,16,"굳셀, 힘셀 활",金,木
강,糠,17,"겨, 쌀겨",木,木
강,絳,12,진홍색,木,木
강,羌,8,"종족이름, 굳셀",土,木
강,悾,12,정성,火,木
강,岡,8,"산등성이, 언덕",土,木
강,崗,11,산등성이,土,木
강,降,14,"내릴,(항)항복할",土,木
강,畺,13,지경,土,木
강,疆,19,"지경, 끝",土,木
강,傋,12,어리석을,火,木
강,壃,16,지경,土,木
강,忼,8,강개할,火,木
강,扛,7,마주 들,木,木
강,殭,17,굳어질,水,木
강,矼,8,징검다리,金,木
강,江,7,"姓,강,큰내",水,木
강,講,17,"강론할, 익힐",金,木
강,强,12,굳셀,金,木
강,強,11,"姓,굳셀,강할",金,木
강,康,11,"평안할, 즐거울",木,木
강,姜,9,"姓,굳셀",土,木
강,剛,10,"姓,굳셀,강철",金,木
강,鋼,16,"강철, 강쇠",金,木
강,嫝,14,편안할,土,木
강,鎠,18,강철,金,木
강,跭,13,"세울, 머뭇거릴",土,木
강,綱,14,"벼리, 법",木,木
강,杠,7,"깃대, 다리",木,木
강,茳,11,천궁모종,木,木
강,顜,19,밝을,火,木
강,穅,16,겨,木,木
강,繈,17,포대기,木,木
강,罡,11,북두성,木,木
강,羫,14,양 갈빗대,土,木
강,豇,10,광저기,木,木
강,韁,22,고삐,金,木
강,舡,9,배,木,木
강,薑,19,생강,木,木
강,襁,18,포대기,木,木
강,鱇,22,아귀,水,木
강,慷,15,"강개할, 슬퍼할",火,木
강,腔,14,속이 빌,水,木
강,僵,15,넘어질,火,木
개,凱,12,"즐길, 함성",木,木
개,愷,14,"즐거울, 편안할",火,木
개,剴,12,알맞을,金,木
개,匃,5,빌,金,木
개,揩,13,닦을,木,木
개,槩,15,평미레,木,木
개,漑,15,"물댈, 씻을",水,木
개,塏,13,높고 건조할,土,木
개,鎧,18,"갑옷, 무장할",金,木
개,慨,15,"분개할, 슬퍼할",火,木
개,蓋,16,"덮을, 대개",木,木
개,盖,11,덮을,水,木
개,愾,14,"성낼, 가득할",火,木
개,疥,9,"옴, 학질",水,木
개,芥,10,"티끌, 먼지",木,木
개,槪,15,"대개, 대강",木,木
개,磕,15,돌 부딪치는 소리,金,木
개,闓,18,열,木,木
개,豈,10,"어찌, 개가",水,木
개,改,7,고치다. 바꿀,金,木
개,皆,9,"다, 함께",火,木
개,個,10,"낱, 단위",火,木
개,箇,14,"낱, 단위",木,木
개,開,12,"열, 개척할",木,木
개,价,6,"착할, 클",火,木
개,介,4,"姓,끼일,갑옷",火,木
개,玠,9,큰 홀,金,木
객,客,9,"손님, 나그네",木,木
객,喀,12,토할,水,木
갱,粳,13,메벼,木,木
갱,羹,19,"국, 땅이름",土,木
갱,硜,12,돌소리,金,木
갱,賡,15,이을,金,木
갱,鏗,19,금옥 소리,金,木
갱,更,7,"다시, 고칠",火,木
갱,坑,7,"구덩이, 빠질",土,木
갹,醵,20,"술잔치, 추렴할",金,木
거,㫢,9,거,火,木
거,秬,10,검은 기장,木,木
거,筥,13,둥구미,木,木
거,籧,23,대자리,木,木
거,胠,11,겨드랑이,水,木
거,苣,11,상추,木,木
거,莒,13,감자,木,木
거,蕖,18,연꽃,木,木
거,蘧,23,패랭이꽃,木,木
거,袪,11,소매,木,木
거,裾,14,자락,木,木
거,距,12,"떨어질, 클",土,木
거,遽,20,"급할, 두려울",土,木
거,踞,15,"웅크릴, 걸터앉을",土,木
거,去,5,"갈, 버릴",水,木
거,祛,10,"쫓을, 보낼",木,木
거,倨,10,"거만할, 멍할",火,木
거,腒,14,날짐승 포,水,木
거,車,7,"수레, 수레바퀴",火,木
거,擧,18,"들, 오를",木,木
거,巨,5,"클, 많을",火,木
거,鉅,13,"강할, 클",金,木
거,炬,9,"횃불, 태울",火,木
거,居,8,"살, 있을",木,木
거,拒,9,막을 방어할,木,木
거,據,17,"의지할, 증거",木,木
거,渠,13,"개천, 클",水,木
거,据,12,"일할, 의거할",木,木
거,鋸,16,"톱, 톱질할",金,木
거,駏,15,버새,火,木
거,呿,8,벌릴,水,木
건,虔,10,"정성, 공경할",木,木
건,健,11,"건강할, 튼튼할",火,木
건,建,9,"세울, 일으킬",木,木
건,䢖,13,세울,土,木
건,乾,11,"姓,하늘, 마를",金,木
건,漧,15,"하늘, 마를",水,木
건,件,6,"사건,구별할",火,木
건,巾,3,"수건, 덮을",木,木
건,楗,13,"문빗장, 방죽",木,木
건,鍵,17,"열쇠, 빗장",金,木
건,搴,14,"빼낼, 올릴",木,木
건,湕,13,물 이름,水,木
건,踺,16,밟을,土,木
건,愆,12,"허물, 과실",火,木
건,腱,15,힘줄,水,木
건,騫,20,"이지러질, 손상할",火,木
건,蹇,17,"절, 멈출",土,木
건,揵,13,멜,木,木
건,犍,13,"불친소,거세한소",土,木
건,睷,14,눈으로 셀,木,木
건,褰,16,걷어올릴,木,木
건,謇,17,떠듬거릴,金,木
건,鞬,18,동개,金,木
걸,杰,8,"뛰어날, 클",火,木
걸,桀,10,"홰, 뛰어날",木,木
걸,乞,3,"빌, 구할",木,木
걸,乬,6,걸,木,木
걸,朅,14,갈,火,木
걸,榤,14,홰,木,木
걸,傑,12,"뛰어날, 클",火,木
검,儉,15,"검소할, 적을",火,木
검,檢,17,"검사할, 교정할",木,木
검,劍,15,"칼, 찌를",金,木
검,劒,16,"칼, 찌를",金,木
검,瞼,18,눈꺼풀,木,木
검,鈐,12,비녀장,金,木
검,黔,16,"검을,그을릴",水,木
검,撿,17,검사할,木,木
검,芡,10,가시연,木,木
겁,怯,9,"겁낼, 무서워할",火,木
겁,迲,14,갈,土,木
겁,劫,7,"위협할, 빼앗을",水,木
겁,刦,7,겁탈할,金,木
겁,刧,7,겁탈할,金,木
게,憩,16,"쉴, 휴식할",火,木
게,揭,13,"높이들, 올릴",木,木
게,偈,11,"쉴, 굳센모양",火,木
격,格,10,"격식, 바로잡을",木,木
격,闃,17,고요할,木,木
격,激,17,"과격할, 흐를",水,木
격,隔,18,"막을, 멀",土,木
격,檄,17,"격문, 편지",木,木
격,膈,16,"흉격, 종틀",水,木
격,覡,14,"박수, 남자무당",火,木
격,挌,10,칠,木,木
격,毄,14,부딪칠,金,木
격,骼,16,뼈,金,木
격,鬲,10,막을,土,木
격,鴃,15,때까치,火,木
격,擊,17,"부딪칠, 방해될",木,木
견,牽,11,"당길, 거느릴",土,木
견,鵑,18,"두견새, 접동새",火,木
견,畎,9,밭도랑,土,木
견,筧,13,대 홈통,木,木
견,縳,17, 명주,木,木
견,繾,20,곡진할,木,木
견,羂,19,올무,木,木
견,鰹,22,가물치,水,木
견,犬,4,개,土,木
견,譴,21,"꾸짖을, 허물",金,木
견,肩,10,"어깨, 견딜",水,木
견,狷,12,성급할,土,木
견,堅,11,"姓,굳을,튼튼할",土,木
견,蠲,23,밝을,水,木
견,甄,14,"질그릇, 가마",土,木
견,見,7,"볼, 보일",火,木
견,絹,13,"비단, 명주",木,木
견,遣,17,"보낼, 파견할",土,木
결,結,12,"맺을, 마칠",木,木
결,決,8,"결단할, 터질",水,木
결,潔,16,"깨끗할, 바를",水,木
결,焆,11,불빛,火,木
결,迼,13,뛸,土,木
결,玦,9,패옥,金,木
결,鍥,17,새길,金,木
결,㛃,9,"맺을,맑을",土,木
결,闋,17,문닫을,木,木
결,缺,10,"이지러질, 모자랄",土,木
결,訣,11,"이별할, 작별할",金,木
결,抉,8,"도려낼, 폭로할",木,木
결,觖,11,서운해 할,木,木
겸,兼,10,"겸할, 쌓을",金,木
겸,謙,17,"겸손할, 공손할",金,木
겸,嗛,13,겸손할,水,木
겸,岒,7,산이 작고 높을,土,木
겸,嵰,13,산높을,土,木
겸,縑,16,합사 비단,木,木
겸,蒹,16,갈대,木,木
겸,黚,17,얕은 금향빛,水,木
겸,槏,14,"창틀, 기둥",木,木
겸,鎌,18,"낫, 모서리",金,木
겸,傔,12,시중들,火,木
겸,拑,9,입다물,木,木
겸,歉,14,흉년 들,火,木
겸,鼸,23,두더지,木,木
겸,慊,14,흐뭇하지 않을,火,木
겸,箝,14,"끼울, 재갈먹일",木,木
겸,鉗,13,칼,金,木
경,京,8,"서울, 클",土,木
경,景,12,"姓,볕,경치",火,木
경,經,13,"경서, 경영할",木,木
경,敬,13,"姓,공경할,훈계할",金,木
경,慶,15,"姓,경사,착할",火,木
경,檠,17,"도지개, 등경걸이",木,木
경,磬,16,"경쇠, 다할",金,木
경,境,14,"지경, 장소",土,木
경,竟,11,"다할, 마칠",金,木
경,徑,10,"지름길, 곧을",火,木
경,㯳,17,도지개,木,木
경,痙,12,힘줄 당길,水,木
경,卿,12,"姓,벼슬",木,木
경,硬,12,"굳을, 단단할",金,木
경,倞,10,"굳셀, 다툴",火,木
경,俓,9,"지름길, 곧을",火,木
경,坰,8,"들, 땅이름",土,木
경,耿,10,"빛날, 비출",火,木
경,炅,8,"姓,빛날,깨끗할",火,木
경,炯,11,"빛날, 밝을",火,木
경,暻,16,경치,火,木
경,鶊,19,꾀꼬리,火,木
경,梗,11,"대강, 가시나무",木,木
경,憬,16,"깨달을,그리워할",火,木
경,絅,11,끌어죌,木,木
경,瓊,20,"옥, 주사위",金,木
경,擎,17,"높이들, 높을",木,木
경,輕,14,"가벼울, 모자랄",火,木
경,鏡,19,"거울, 비출",金,木
경,畊,9,밭갈,土,木
경,綆,13,두레박줄,木,木
경,褧,16,홑옷,木,木
경,顈,17,홑옷,木,木
경,駉,15,살질,火,木
경,鯁,18,생선 뼈,水,木
경,黥,20,자잘할,水,木
경,脛,13,정강이,水,木
경,頸,16,목줄기,火,木
경,儆,15,"경계할, 위급할",火,木
경,逕,14,"좁은길, 지름길",土,木
경,警,20,"경계할, 방어할",金,木
경,驚,23,"놀랄, 두려울",火,木
경,璟,17,옥빛,金,木
경,涇,9,찰,水,木
경,璥,18,경옥,金,木
경,涇,11,"통할, 흐름",水,木
경,熲,15,"빛날, 불빛",火,木
경,勍,10,"셀, 강할",金,木
경,冂,2,멀,火,木
경,冏,7,"빛날, 밝을",火,木
경,囧,7,"빛날, 밝을",水,木
경,莖,13,"줄기, 근본",木,木
경,勁,9,"힘, 굳셀",金,木
경,憼,17,"공경할, 갖출",火,木
경,巠,7,지하수,水,木
경,曔,17,밝을,火,木
경,燛,16,밝을,火,木
경,亰,9,서울,土,木
경,庚,8,"姓,일곱째천간,나이",金,木
경,耕,10,"밭갈, 평평하게 할",土,木
경,頃,11,"밭이랑, 요사이",火,木
경,鲸,19,"고래, 쳐들",水,木
경,更,7,"고칠, 개선할",火,木
경,傾,13,"기울, 누울",火,木
경,競,20,"겨룰, 나아갈",金,木
경,剄,9,목벨,金,木
경,哽,10,목멜,水,木
경,惸,13,근심할,火,木
경,扃,9,문빗장,木,木
경,焭,12,근심할,火,木
경,煢,13,외로울,火,木
경,竸,22,다툴,金,木
경,罄,17,"빌,공허할",土,木
경,謦,18,기침,金,木
계,階,17,"섬돌, 계단",土,木
계,烓,10,"화덕, 밝을",火,木
계,繼,20,"이을, 계통",木,木
계,契,9,"맺을, 약속",木,木
계,堺,12,경계,土,木
계,屆,8,"이를, 다다를",木,木
계,稽,15,"머무를, 쌓을",木,木
계,谿,17,시내,水,木
계,磎,15,시내,金,木
계,堦,12,섬돌,土,木
계,瘈,14,미칠,水,木
계,禊,14,계제사,木,木
계,綮,14,발 고운 비단,木,木
계,縘,16,맬,木,木
계,罽,17,물고기 그물,木,木
계,薊,19,삽주,木,木
계,髻,16,상투,火,木
계,悸,12,두근거릴,火,木
계,棨,12,창,木,木
계,戒,7,"경계할, 삼가다",金,木
계,械,11,"형틀, 기구",木,木
계,癸,9,"열째 천간, 헤아릴",水,木
계,季,8,"姓,끝,막내",水,木
계,界,9,"지경, 경계",土,木
계,計,9,"셈할, 계획",金,木
계,溪,14,"시내, 산골짜기",水,木
계,鷄,21,"닭, 가금",火,木
계,系,7,"이을, 실마리",木,木
계,係,9,"걸릴, 이을",火,木
계,桂,10,월계수,木,木
계,啓,11,"가르칠, 인도할",水,木
계,誡,14,"경계할, 훈계할",金,木
계,繫,19,"맬, 죄수",木,木
고,姑,8,"시어머니, 아직",土,木
고,庫,10,"곳집, 창고",木,木
고,稿,15,"볏짚, 원고",木,木
고,顧,21,"姓,돌아볼,관찰할",火,木
고,叩,5," 두드릴, 물어볼",水,木
고,敲,14,"두드릴, 회초리",金,木
고,皐,11,"고할, 언덕",水,木
고,暠,14,"흴, 밝을",火,木
고,鼓,13,"북, 두드릴",金,木
고,雇,12,"품살, 새이름",火,木
고,估,7,값,火,木
고,凅,10,얼,水,木
고,刳,8,가를,金,木
고,栲,10,북나무,木,木
고,櫜,19,활집,木,木
고,牯,9,암소,土,木
고,盬,18,염지,土,木
고,鷱,23,작은 비둘기,火,木
고,槀,12,볏짚,木,木
고,箍,14,테,木,木
고,篙,16,상앗대,木,木
고,袴,12,"바지, 사타구니",木,木
고,辜,12,허물,金,木
고,錮,16,"땜질할, 가둘",金,木
고,瞽,18,소경,木,木
고,羖,10,검은 암양,土,木
고,固,8,"굳을, 단단할",水,木
고,高,10,"姓,높을",火,木
고,告,7,"알릴, 고할",水,木
고,杲,8,"밝을, 높을",木,木
고,皋,10,"고할, 언덕",金,木
고,睾,14,"못, 늪",木,木
고,沽,9,"팔, 매매할",水,木
고,膏,14,"살찔, 기름진 땅",水,木
고,苽,11,"줄, 진고",木,木
고,菰,14,"향초, 옥이름",木,木
고,誥,14,고할,金,木
고,賈,13,장사,金,木
고,羔,10,"새끼양, 흑양",土,木
고,古,5,"옛, 오랠",水,木
고,故,9,"옛, 원래",金,木
고,苦,11,"쓸, 괴로울",木,木
고,考,8,"상고할, 밝힐",土,木
고,攷,6,상고할,土,木
고,枯,9,"마를, 수척할",木,木
고,糕,16,떡,木,木
고,罟,10,그물,木,木
고,翶,18,날,火,木
고,胯,12,사타구니,水,木
고,觚,12,술잔,木,木
고,詁,12,주낼,金,木
고,郜,14,나라이름,土,木
고,酤,12,계명주,金,木
고,鈷,13,다리미,金,木
고,靠,15,기댈,木,木
고,鴣,16,자고,火,木
고,槀,14,마를,木,木
고,藁,20,마를,木,木
고,槁,14,마를,木,木
고,痼,13,고질,水,木
고,呱,8,울,水,木
고,孤,8,"외로울, 고아",水,木
고,尻,5,"꽁무니, 자리잡을",水,木
고,拷,10,"칠, 빼앗을",木,木
고,股,10,넓적다리,水,木
고,蠱,23,"독, 벌레",水,木
곡,谷,7,"골짜기, 좁은 길",水,木
곡,曲,6,"굽다, 휘다",土,木
곡,穀,15,"곡식, 기를",木,木
곡,哭,10,"울, 노래할",水,木
곡,斛,11,"휘, 헤아릴",火,木
곡,鵠,18,"고니, 흴",火,木
곡,梏,11,"쇠고랑, 묶을",木,木
곡,嚳,20,고할,水,木
곡,槲,15,떡갈나무,木,木
곡,穀,16,주름비단,木,木
곡,觳,17,뿔잔,木,木
곡,轂,17,바퀴통,火,木
곤,坤,8,"땅, 괘이름",土,木
곤,琨,13,"옥돌, 패옥",金,木
곤,昆,8,"형, 맏",火,木
곤,崑,11,산이름,土,木
곤,錕,16,"구리, 붉은 쇠",金,木
곤,梱,11,"문지방, 두드릴",木,木
곤,滾,15,"흐를, 샘솟을",水,木
곤,袞,11,곤룡포,木,木
곤,衮,12,곤룡포,木,木
곤,鯤,19,"고니, 물고기 알",水,木
곤,堃,11,땅,土,木
곤,崐,11,산이름,土,木
곤,悃,11,정성,火,木
곤,捆,11,두드릴,木,木
곤,緄,14,띠,木,木
곤,裍,13,걷어 올릴,木,木
곤,褌,15,잠방이,木,木
곤,閫,15,문지방,木,木
곤,髡,12,머리 깎을,火,木
곤,鵾,19,댓닭,火,木
곤,鶤,20,봉황,火,木
곤,齫,22,이 솟아날,金,木
곤,困,7,"괴로울, 보족할",水,木
곤,棍,12,"몽둥이, 곤장",木,木
골,汨,8,"빠질, 잠길",水,木
골,滑,14,"미끄러울, (활)어지러울",水,木
골,搰,14,팔,木,木
골,榾,14,등걸,木,木
골,鶻,21,송골매,火,木
골,骨,10,"姓,뼈,강직할",金,木
공,工,3,"장인, 공교할",火,木
공,功,5,"姓,일,공로",木,木
공,共,6,"함께, 한가지",金,木
공,公,4,"姓,귀,공변될",金,木
공,孔,4,"姓,구멍",水,木
공,供,8,"이바지할, 공손할",火,木
공,恭,10,"공손할, 조심할",火,木
공,貢,10,"바칠, 천거할",金,木
공,珙,11,"큰옥, 옥이름",金,木
공,拱,10,"당길, 고할",木,木
공,蚣,10,지네,水,木
공,鞏,15,묶을,金,木
공,龔,22,"공손할, 받들",土,木
공,空,8,"姓,빌,없을",水,木
공,控,12,"고할, 아뢸",木,木
공,倥,10,어리석을,火,木
공,崆,11,산이름,土,木
공,栱,10,두공,木,木
공,箜,14,공후,木,木
공,蛩,12,메뚜기,水,木
공,蛬,12,귀뚜라미,水,木
공,贛,24,줄,金,木
공,跫,13,"발자국, 소리",土,木
공,釭,11,살촉,金,木
공,槓,14,지렛대,木,木
공,攻,7,"칠, 공격할",金,木
공,恐,10,"두려울, 협박할",火,木
곶,串,7,"곶, 익힐, 꿸",金,木
과,寡,14,"적을, 과부",木,木
과,菓,14,"과일, 과자",木,木
과,侉,8,자랑할,火,木
과,堝,12,도가니,土,木
과,夥,14,많을,水,木
과,夸,6,자랑할,木,木
과,稞,13,보리,木,木
과,窠,13,보금자리,水,木
과,裹,14,쌀,木,木
과,踝,15,복사뼈,土,木
과,銙,14,대구,金,木
과,騍,18,암말,火,木
과,猓,12,긴꼬리원숭이,木,木
과,蝌,15,올챙이,水,木
과,戈,4,"창, 전쟁",金,木
과,撾,17,칠,木,木
과,果,8,"과실, 이룰",木,木
과,課,15,"매길, 고시",金,木
과,科,9,"과정, 과거",木,木
과,跨,13,"타넘을, 건너갈",土,木
과,鍋,17,"냄비, 대통",金,木
과,顆,17,"낟알, 흙덩이",火,木
과,過,16,"지날, 초월할",土,木
과,瓜,5,"오이, 참외",木,木
과,誇,13,"자랑할, 자만할",金,木
곽,郭,15,"姓,성곽,둘레",土,木
곽,廓,14,"굴레, 클",木,木
곽,槨,15,"덧널, 궤",木,木
곽,藿,22,"姓,콩잎,쥐눈이콩",木,木
곽,椁,12,덧널,木,木
곽,癨,21,곽란,水,木
곽,霍,16,빠를,水,木
곽,鞹,20,무두질한 가죽,金,木
관,丱,5,쌍상투,木,木
관,爟,22,봉화,火,木
관,盥,16,대야,水,木
관,祼,13,강신제,木,木
관,窾,17,빌,水,木
관,筦,13,다스릴,木,木
관,綰,14,얽을,木,木
관,鑵,26,두레박,金,木
관,雚,18,황새,火,木
관,觀,27,광대뼈,火,木
관,髖,25,허리뼈,金,木
관,鸛,29,황새,火,木
관,館,17,"객사, 관청",水,木
관,舘,16,"객사, 관청",金,木
관,涫,12,"끓을, 대야",水,木
관,棺,12,"널, 입관할",木,木
관,官,8,"벼슬, 관청",木,木
관,觀,25,"볼, 드러낼",火,木
관,管,14,"주관할, 피리",木,木
관,冠,9,"姓,갓,볏",木,木
관,寬,15,"너그러울, 넓을",木,木
관,款,12,"정성, 사랑",金,木
관,琯,13,"옥피리, 옥돌",金,木
관,菅,14,"난초, 등골나무",木,木
관,串,7,"익힐, 꿸",金,木
관,罐,24,두레박,土,木
관,貫,11,"꿰뚫을, 적중할",金,木
관,慣,15,"버릇, 익숙할",火,木
관,灌,22,"물댈, 따름",水,木
관,瓘,23,옥이름,金,木
관,梡,11,"도마, 장작",木,木
관,關,19,"姓,빗장,잠글",木,木
관,錧,16,"쟁기, 비녀장",金,木
관,輨,15,줏대,火,木
괄,括,10,"묶을, 단속할",木,木
괄,适,13,"빠를, 신속할",土,木
괄,刮,8,"깎을,갈",金,木
괄,恝,10,걱정 없을,火,木
괄,佸,8,이를,火,木
괄,栝,10,노송나무,木,木
괄,筈,12,오늬,木,木
괄,聒,12,떠들썩할,火,木
괄,髺,16,묶을,火,木
괄,鴰,17,재두루미,火,木
광,爌,19,불빛 환할,火,木
광,絖,12,고운 솜,木,木
광,纊,21,솜,木,木
광,茪,12,초결명,木,木
광,狂,8,미칠,土,木
광,胱,12,방광,水,木
광,恇,10,겁낼,火,木
광,獷,19,사나울,土,木
광,誆,13,속일,金,木
광,光,6,"姓,빛날,경치",火,木
광,炚,8,빛날,火,木
광,廣,15,"姓,넓을",木,木
광,広,5,넓을,木,木
광,鑛,23,"쇳돌, 광석",金,木
광,炛,8,빛날,火,木
광,侊,8,"클, 성할",火,木
광,洸,10,"姓,물솟을,성낼",水,木
광,珖,11,"옥피리, 옥이름",金,木
광,桄,10,광랑나무,木,木
광,匡,6,"바르다, 구제할",土,木
광,曠,19,"밝을, 황야",火,木
광,硄,11,돌소리,金,木
광,筐,12,광주리,木,木
광,壙,18,"들판, 공허할",土,木
광,框,10,문테,木,木
괘,掛,12,"걸, 걸어놓을",木,木
괘,卦,8,"걸, 매달",木,木
괘,罫,14,"줄, 거리낄",木,木
괘,挂,10,걸,木,木
괘,罣,12,걸,木,木
괘,詿,13,그르칠,金,木
괘,咼,9,입 비뚤어질,水,木
괴,傀,12,"클, 좋을",火,木
괴,魁,14,"으뜸, 우두머리",火,木
괴,槐,14,홰나무,木,木
괴,塊,13,흙덩어리,土,木
괴,愧,14,"부끄러워할, 탓할",火,木
괴,媿,13,부끄러움,土,木
괴,廥,16,여물광,木,木
괴,瑰,15,구슬 이름,金,木
괴,璝,17,구슬 이름,金,木
괴,蒯,16,황모,木,木
괴,襘,19,띠매듭,木,木
괴,怪,9,"기이할, 도깨비",火,木
괴,壞,19,무너질,土,木
괴,拐,9,"속일, 꾀일",木,木
괴,乖,8,어그러질,火,木
괵,馘,17,귀 벨,水,木
굉,宏,7,"클, 광대할",木,木
굉,紘,10,"갓끈, 밧줄",木,木
굉,肱,10,팔뚝,水,木
